"RECIPE_ID","RECIPE_NAME","RECIPE_IMAGE_URL","CATEGORY_ID","GARNISH_ID","GUIDE","USERNAME","MODIFYING_USER","ITS","UTS"
1,"Lasagne","https://img.chefkoch-cdn.de/rezepte/1112181217260303/bilder/1586838/crop-960x540/lasagne-bolognese.jpg",2,,"Das Gemüse in feine Würfel schneiden und in etwas Sonnenblumenöl scharf anbraten, bis es kleine braune Stellen hat.
Mit 2 EL braunem Zucker kurz karamellisieren.
Anschließend das Gemüse in einer Schüssel zwischen lagern und Hackfleisch anbraten.
Mit einem großen Schluck Wein ablöschen und verkochen lassen, bis nur noch der Boden mit Wein bedeckt ist. Diesen Vorgang beliebig oft wiederholen. Hier ruhig etwas Zeit lassen damit die Soße am Ende nicht zu flüssig wird.
Die Tomaten und passierten Tomaten zur Sauce geben, das Olivenöl, das karamellisierte Gemüse und den Knoblauch hinzufügen. Mit Oregano, Lorbeerblättern, Tomatenmark, Kräutern und etwas Chili Pulver würzen und die Sauce auf mittlerer Hitze ca. eine Stunde köcheln lassen, bis sie dick und sämig wird.
In der Zwischenzeit die Butter für die Bechamelsauce in einem Topf schmelzen, das Mehl dazu geben und mit einem Schneebesen schaumig rühren. Auf mittlerer Hitze solange anrösten, bis das Mehl beginnt braun zu werden. Die KALTE Milch unter ständigem Rühren dazu gießen. Man kann zur Hälfte Gemüsebrühe benutzen um der Soße etwas mehr Geschmack zu geben
Weiterrühren und die Bechamelsauce einmal aufkochen – dann sollte sie eine cremige Konsistenz aufweisen.
Mit 50 Gramm Parmesan, einer Prise Muskatnuss sowie Salz, Pfeffer und Zucker abschmecken.
Die Tomatensauce nach einer Stunde mit Salz, Pfeffer und braunem Zucker abschmecken. Falls sie noch sehr flüssig ist, noch einmal 15 Minuten weiter köcheln lassen.
Eine Schicht der Tomatensauce auf dem Boden einer Auflaufform verteilen. Nun eine Schicht Bechamelsauce darüber verteilen und mit Nudelplatten bedecken. Man kann auch schon Käse zwischen die Schichten packen wenn man möchte.
Diesen Vorgang wiederholen bis die Auflaufform bis zum Rand gefüllt ist, dabei mit einer ordentlichen Schicht Bechamelsauce enden. Die Oberfläche mit dem übrigen geriebenen Käse bestreuen und im Ofen bei 220 Grad Umluft etwa 35 Minuten backen.
Mit einer Gabel überprüfen, ob sich die Nudelplatten leicht durchstechen lassen – dann ist die Lasagne servierfertig.","Franziska","FRANZISKA",2021-03-07 00:00:00,2025-12-23 00:00:00
56,"Adobo-Gewürzmischung","https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1026585.jpg&w=596&h=596&c=sc&poi=face&q=85",21,,"2 tablespoons salt
1 tablespoon paprika
2 teaspoons ground black pepper
1 ½ teaspoons onion powder
1 ½ teaspoons dried oregano
1 ½ teaspoons ground cumin
1 teaspoon garlic powder
1 teaspoon chili powder","Christian","CHRISTIAN",2021-01-13 00:00:00,2021-01-13 00:00:00
61,"Djuvec Reis","https://www.grillkameraden.de/wp-content/uploads/2019/07/Djuvec-Reis-750x450.jpg",3,,"Knoblauch schälen. Zwiebeln schälen. Paprikaschoten waschen und Strunk, Körner sowie Scheidewände entfernen. Tomaten waschen und entkernen. Zwiebeln, Paprikaschoten und Tomaten fein würfeln.
Butter in einer großen Pfanne zerlassen. Das gewürfelte Gemüse etwa 5 Minuten scharf anbraten.
Hitze zurücknehmen. Paprikapulver und Tomatenmark über das Gemüse geben, alles umrühren und 1 bis 2 Minuten weiterbraten.
Knoblauchzehen in die Pfanne pressen.
Reis in die Pfanne geben und mitbraten, bis nur noch wenig Flüssigkeit übrig ist.
Die Reis-Gemüsemischung mit Wasser ablöschen.
Ajvar, Vegeta, Olivenöl, Salz und Pfeffer unterrühren.
Bei niedriger Hitze etwa 10 Minuten zugedeckt köcheln lassen. Gelegentlich umrühren.
Während dieser Zeit die Petersilie waschen, abschütteln und fein schneiden.
Angetaute Erbsen und Petersilie unterrühren.
Etwa 10 Minuten weitergaren, bis der Reis weich ist.
Zum Schluss mit Salz und Pfeffer abschmecken.

2 Knoblauchzehen
2 mittelgroße Gemüsezwiebeln
2 rote Paprikaschoten
2 mittelgroße Tomaten
3 EL Butter
1,5 EL Paprikapulver (scharf oder edelsüß)
4 EL Tomatenmark
300 g weißer Langkornreis
600 ml Wasser
150 g Ajvar
1 EL Vegeta oder gekörnte Gemüsebrühe
3 EL Olivenöl
Salz
Schwarzer Pfeffer aus der Mühle
Einige Stängel Petersilie
150 g Erbsen (TK)","CHRISTIAN","CHRISTIAN",2021-01-18 00:00:00,2021-01-18 00:00:00
66,"Spätzle mit Pfeffersoße","https://i0.wp.com/flavouredwithlove.com/wp-content/uploads/2014/09/dsc099771.jpg?resize=640%2C427",3,,"1 EL	Pfefferkörner, schwarze oder bunte
2 EL	Butter
1 m.-große	Zwiebel(n)
125 ml	Portwein
125 ml	Rinderfond
200 ml	Sahne
Salz zum Abschmecken

Zubereitung

Arbeitszeit ca. 5 Minuten

Koch-/Backzeit ca. 55 Minuten

Gesamtzeit ca. 1 Stunde
Pfefferkörner mit einem Mörser zerstoßen und in der aufschäumenden Butter dünsten. Der Duft wird den Pfefferliebhaber schon schwindelig machen. Zwiebeln fein würfeln, dazugeben und mitdünsten. Wenn die Zwiebeln glasig sind, den Portwein dazugeben und bis zu ca. 1/3 einköcheln lassen. Dann den Fond dazugeben und wieder einköcheln lassen.

Wichtig: Immer mal wieder umrühren, wenn es einmal anbrennt ist es nicht mehr zu genießen!

Zum Schluss die Sahne zugießen und bis zur gewünschten Konsistenz köcheln lassen.

Hinweis: Man kann die Sauce durch ein Sieb geben und pürieren, doch jedem Pfefferfan ist davon abzuraten.","FRANZISKA","FRANZISKA",2021-03-05 00:00:00,2021-03-21 00:00:00
75,"Schoki Soufflé","https://www.einfachbacken.de/sites/einfachbacken.de/files/styles/700_530/public/2018-11/schokokuechlein_mit_fluessigem_kern_62156.jpg?h=4521fff0&itok=F4BD6Fk9",1,,"180	g	Schokolade (dunkel)
1	EL	Butter
4	Stk	Eier
180	ml	Milch
30	g	Speisestärke
2	EL	Staubzucker
Zutaten zum Einfetten der Form
2	EL	Zucker
1	EL	Butter (geschmolzen)
Die Milch in einen Topf geben, Zucker und Schokolade zufügen und aufkochen lassen. Ständig dabei rühren. Die Speisestärke mit dem Eigelb verrühren und nach und nach in dei Schoko-Milch einrühren. Nochmals aufkochen lassen und wieder nebenbei rühren. Nun noch die Butter unterrühren.
Danach den Topf vom Herd nehmen und auskühlen lassen. Währenddessen das Eiklar zu Schnee schlagen und in die abgekühlte Creme unterziehen. Den Ofen vorheizen!
Eine Auflaufform einfetten und mit Zucker ausstreuen. Nun die Masse in die Form geben.
Im vorgeheizten Ofen bei 170°Grad Ober- und Unterhitze ca. 25 Min. backen und anschließend sofort servieren.","VIOLA","VIOLA",2022-06-24 00:00:00,2022-06-24 00:00:00
5,"Flammkuchen Elsässer Art","https://www.einfachbacken.de/sites/einfachbacken.de/files/styles/full_width_tablet_4_3/public/2020-04/flammkuchen.jpg?h=4521fff0&itok=MzvaQAse",2,,"","Franziska","",,
6,"Schokobrownies","https://www.einfachbacken.de/sites/einfachbacken.de/files/styles/full_width_tablet_4_3/public/2018-07/brownies-1_zuschnitt_bearb.png?h=7cece4cc&itok=1odotsoY",1,,"","Franziska","",,
9,"Pfannkuchen","https://image.brigitte.de/11759972/t/RO/v3/w1440/r1/-/pfannkuchen-ohne-ei.jpg",1,,"","Franziska","",,
12,"Tomatenreis mit mediterranem Gemüse","https://image.brigitte.de/11797758/t/Bo/v3/w1440/r1/-/tomatenreis.jpg",3,,"","Franziska","FRANZISKA",2020-12-28 00:00:00,2020-12-28 00:00:00
15,"Knusper-Hähnchenschnitzel","https://heimfrost.de/wp-content/uploads/images/artikel/04202-360x360.jpg",2,,"","Franziska","",,
20,"Nudelauflauf mit Jalapenos","https://i.pinimg.com/originals/98/32/12/983212ee0dcdd07c9e64e4ab3724ef52.png",2,,"","Franziska","",,
23,"Gemischter Salat mit Brot","https://www.unileverfoodsolutions.ch/dam/global-ufs/mcos/dach/calcmenu-recipes/ch-recipes/2019/sandwich-club/sandwich-&-more/gemischter-salat-to-go/main-header.jpg",2,,"","Franziska","",,
24,"Tomatensuppe mit Brot","https://kochwerk.mohoga.com/wp-content/uploads/sites/5/2015/06/DSC_1926.jpg",2,,"1. Tomaten Kreuzförmig einschneiden und min 10min köcheln lassen. Anschließend die Haut abtrennen, den Stumpf entfernen und in Stücke schneiden.
2. Zwiebeln in einem großen Topf mit Olivenöl anbraten.
3. Knoblauch hinzugeben und mit Rotwein ablöschen und reduzieren lassen.
4. Gemüsebrühe, Passierte Tomaten und Tomatenmark hinzugeben. Mit Chili Flocken, Italienischen Kräutern und Oregano würzen.
5. Lorbeerblätter und Nelken (oder gemahlene Nelken) hinzugeben und für etwa 15min köcheln lassen.
6. Das Chiabatta in den vorgeheizten Ofen schieben.
7. Die Lorbeerblätter (und Nelken falls nicht gemahlen) aus der Suppe entfernen.
8. Die Soße pürieren
9. Mit Salz Pfeffer und ggf noch anderen Gewürzen würzen.","Franziska","FRANZISKA",2021-03-21 00:00:00,2023-01-08 00:00:00
32,"Maultaschensuppe","https://ais.kochbar.de/kbrezept/214295_111084/1200x1200/suppe-maultaschensuppe-rezept.jpg",2,,"","Franziska","",,
34,"Ofenkartoffel","https://assets.ichkoche.at/image/17/165124.jpg?v=2&twic=v1/focus=50px50p/cover=992x768",3,,"","Franziska","FRANZISKA",2023-09-13 00:00:00,2023-09-13 00:00:00
41,"Beef Jerky","https://cdn.shop-apotheke.com/images/nu3-beef-jerky-original-D08101311-p4.jpg",1,,"","Franziska","",,
44,"Tortellini mit Sahnesauce","https://www.moms-blog.de/wp-content/uploads/2015/09/tortellini5.jpg",2,,"","Franziska","",,
46,"Gurkensalat","https://herdgefluester.de/wp-content/uploads/2016/05/Gurkensalat-scaled.jpg",3,,"","Franziska","FRANZISKA",2020-12-28 00:00:00,2020-12-28 00:00:00
53,"Crepe","https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/39ee5603-5ac4-4420-9563-11ae0ec17b41/Derivates/21ffd62c-8c68-43ac-9593-16c4c09e644d.jpg",1,,"","Franziska","",,
54,"Schokocrossies","https://img.chefkoch-cdn.de/rezepte/1044411209381317/bilder/1169744/crop-960x720/schokocrossies.jpg",1,,"","Franziska","",,
55,"Picadillo","https://www.laurainthekitchen.com/squarethumbnails/picadillo.jpg",2,,"Video-Anleitung: https://www.youtube.com/watch?v=sbcs_buzUjc
Adobo-Gewürzmischung hat ihr eigenes Rezept

1) Preheat a heavy bottomed pot over medium high heat with about a tablespoon of oil, add the beef, break it up as much as possible with a wooden spoon and allow it to cook until fully cooked through.

2) Push the beef to one side, add the remaining tablespoon of oil the other side and add in the onions, peppers and garlic and saute for a few minutes or until they soften and cook down a bit then unite the veggies with the beef and cook together for a couple more minutes.

3) Add all the remaining ingredients along with about 1/2 cup of water, bring to a boil then reduce the heat to medium low, cover and allow to simmer for about a half an hour.

4) When ready to serve, adjust the seasoning to taste and serve over fluffy white rice with a scattering of cilantro all over the top.
DEUTSCH:
1) Hackfleisch fein / klein anbraten (in Olivenöl)
2) Paprika, Zwiebeln und Knoblauch in einer Hälfte der Pfanne ein paar Minuten sautieren (das Hack bleibt in der anderen Hälfte), dann alles vermischen und ein paar Minuten weiterkochen.
3) restliche Zutaten hinzufügen - auch Gewürze (Wasser nur wenn man ganze Tomaten gekauft hat statt ner Dose), zum Kochen bringen, danach Hitze runter und ne halbe Stunde köcheln lassen
4) Würzung anpassen, Reis empfiehlt sich als Beilage

Grundmengen (Achtung - Idioteneinheiten)
1 lb of Ground Beef
1 Small Yellow Onion, diced
1/2 of a Green Bell Pepper, diced
2 Cloves of Garlic, minced
2 Tbsp of Olive Oil
3 Tbsp of Dark Raisins
3 Tbsp of Chopped pimento stuffed Olives + 2 Tbsp of The brine
1 15oz can of Petite Diced Tomatoes in Sauce
1/2 tsp of Adobo plus more to taste
1/2 tsp of Cumin","Christian","",,
57,"Vaavishkaa","https://video-images.vice.com/articles/5c8150cb98f7010007f12cec/lede/1553177068078-Beef_Egg_Stew_14.jpeg?crop=1xw:0.8547008547008547xh;center,center&resize=500:*",2,,"https://www.youtube.com/watch?v=yVIEORs21qo

1 pound ground beef
1 medium onion, finely chopped
1 ¾ cups cold water
1 teaspoon turmeric
½ teaspoon black pepper
4 tomatoes
2 tablespoons tomato puree
¼ teaspoon cayenne pepper
1 teaspoon sea salt
2 tablespoons sunflower oil
2 medium eggs
2 spring onions, trimmed and finely chopped, to garnish

1. Place the meat and onions in a saucepan and pour in the cold water. Add the turmeric and pepper and stir well. Place a lid on the pan and simmer for 20 minutes over a low heat.
2. Meanwhile, skin the tomatoes by scoring the skins with a sharp knife a few times and placing them in a bowl of just boiled water for about a minute. Drain well, then rub off the skin. Cut the tomatoes in half, remove and discard the seeds, then cut into small dice.
3. Add the diced tomato to the pan, along with the tomato puree, cayenne, and salt, followed by the oil. Simmer with the lid on for another 15 minutes, stirring occasionally, and then cook for 5 minutes with the lid off until the sauce has the consistency of a thick ragu.
4. Crack the eggs into the pan and leave to set for a minute. Gently run a wooden spoon through the yolks a few times. Don’t mix too much, as you want to have chunks of egg in the final dish, not scrambled eggs. Place a lid on until the eggs are set and then taste to adjust the seasoning.
5. Serve with the spring onions sprinkled on top.","Christian","CHRISTIAN",2021-01-13 00:00:00,2021-01-13 00:00:00
59,"Salami-Käse Sandwich","https://i.imgur.com/RoBukfl.png",2,,"Zutaten für 1 Sandwich: 
Einen Becher geriebenen Cheddar (Kann variieren je nach Größe des Brotes)
~2.Scheiben Salami
~1.Gurke
~1. Teelöffel Dijon Senf (Normaler Senf ist auch okay, aber schlechter)
- Einen Spritzer scharfe Soße
- Ein wenig Butter ( Wird für das toasten gebraucht. Öl ist nicht empfehlenswert, da das Sandwich zu ölig werden kann)

1) Käse, Salami und Gurke klein schneiden und mit dem Senf und der scharfen Soße in einer Schüssel miteinander mischen.
2) Einen Toast auf Medium in der Pfanne toasten. 
3) Die Masse auf dem Toast, dass in der Pfanne noch am toasten ist, drauf schmieren.
4) Den 2. Toast auflegen ( Dabei muss die Butter auf die Außenseite liegen!)
5.) Mit einem Pfannenwender o.ä umdrehen, bis beide Seiten Goldbraun sind.
DONE!","JOVAN","FRANZISKA",2021-01-13 00:00:00,2021-01-13 00:00:00
7,"Waffeln","https://www.einfachbacken.de/sites/einfachbacken.de/files/styles/full_width_tablet_4_3/public/2019-03/waffelteig_grundrezept-1_bearb.jpg?h=a1e1a043&itok=tHz61G-C",1,,"","Franziska","",,
10,"Pizzabrötchen","https://img.chefkoch-cdn.de/rezepte/194031082643453/bilder/879874/crop-360x240/pizzabroetchen.jpg",2,,"","Franziska","",,
13,"Süßkartoffel-Karotten-Suppe","https://www.zaubertopf.de/wp-content/uploads/2020/01/S%C3%BC%C3%9Fkartoffel-Suppe-mit-Karotten-und-ger%C3%B6steten-Mandeln_11350-scaled.jpg",2,,"","Franziska","",,
14,"Schweineschnitzel","https://cdn.gutekueche.de/upload/rezept/8466/schweineschnitzel.jpg",2,,"","Franziska","",,
17,"Spätzle-Gemüsepfanne","https://img.chefkoch-cdn.de/rezepte/720871174834131/bilder/119188/crop-960x720/gemuesepfanne-mit-spaetzle.jpg",3,,"","Franziska","",,
19,"Bruschetta","https://img.chefkoch-cdn.de/rezepte/761431178875412/bilder/394631/crop-960x720/bruschetta-mit-tomaten-und-knoblauch.jpg",3,,"","Franziska","FRANZISKA",2020-12-28 00:00:00,2020-12-28 00:00:00
22,"Enchiladas mit Hühnchen","https://img.chefkoch-cdn.de/rezepte/925921197897680/bilder/111612/fit-960x720/enchilada-verdura.jpg",2,,"","Franziska","FRANZISKA",2021-03-21 00:00:00,2021-03-21 00:00:00
26,"Bauerntopf","https://img.chefkoch-cdn.de/rezepte/704971173108334/bilder/890592/crop-360x240/bauerntopf.jpg",2,,"","Franziska","FRANZISKA",2021-03-21 00:00:00,2021-03-21 00:00:00
27,"Nudeln mit Bolognese (selbst gemacht)","https://www.zaubertopf-club.de/files/styles/mainimage_share/public/images/recipes/2017/50/spaghetti_bolognese.jpg?itok=Owsoy8Xc",2,,"","Franziska","",,
28,"Aubergine Curry ( Indian dish )","https://www.edeka.de/media/01-rezeptbilder/rezeptbilder-i-p/rez-edeka-pakistanisches-auberginencurry-rezept-i-p-1-1-2.jpg",2,,"List of Ingredients ( for portion of 2 ):
4 Aubergine
2 spoon of olive oil
1 medium Onion ( sliced is fine )
Garlic 
black mustard seeds
Clove
Turmeric
Coriandar
cumin
1 Tomato
1 spoon of garam masala
Peanut (must! )
Enjoy with chapati

Tip : One can crush Peanuts, Turmeric, Onion, Garlic and Clove in a mixture!

Steps to make Aubergine Curry:-

1. Heat a pan over a medium-high heat and put couple of spoon of olive oil. Let the oil heat for couple of mins. Then add mustard seeds as they begin to pop.
2. Add chopped onion - Onion should turn brown and then put salt and mix it.
3. Add Tomato and continue mixing the Onion and Tomato, continue mixing till oil gets seperate from it.
4. Now add Garlic, Ginger paste or add the full  mixture which mentioned in ingredient list for around 3-4 mins in a medium heat.
   ( add red chilli powder to make look like red hot ;-) )
5. Add the diced aubergine along with the cumin and coriander powder. Keep stiring it.
6. Finally add 200mls of water and simmer for 12-15 minutes over a low heat with the lid on.
7. Make sure to garnish with coriander (must!)

Fun fact: Mukesh Ambani - Asia's top richest and world 10th richest person once told which is one thing that you can eat daily. 
His answer was anything made up of Aubergine and esp Aubergine Curry!!!","Franziska","FRANZISKA",2021-01-02 00:00:00,2021-03-21 00:00:00
29,"Chili con Carne","https://www.kuechengoetter.de/uploads/media/960x960/07/61557-chili-con-carne-rezept.jpg?v=3-36",2,,"","Franziska","",,
30,"Schweinefilet in Speckmantel","https://ais.kochbar.de/kbrezept/293086_1010058/1200x1200/schweinefilet-in-alufolie-im-backofen-rezept-bild-nr-2.jpg",2,,"","Franziska","",,
31,"Maultaschen-Gemüsepfanne","https://img.chefkoch-cdn.de/rezepte/1771271287128249/bilder/793686/crop-360x240/maultaschen-gemuese-pfanne.jpg",2,,"","Franziska","",,
35,"Süßkartoffel-Ofenkartoffel","https://www.foodtempel.de/wp-content/uploads/2020/01/S%C3%BC%C3%9Fkartoffel-gef%C3%BCllt.jpg",2,,"","Franziska","",,
38,"Burger","https://ais.kochbar.de/vms/5ced0e371d90da128862f2c2/1200x1200/burger.jpg",2,,"","Franziska","",,
39,"Frikadellen","https://img.chefkoch-cdn.de/rezepte/108081045389625/bilder/1110842/crop-960x720/schwaebische-frikadellen.jpg",2,,"","Franziska","",,
45,"Chickenwings (fertig gewürzt)","https://www.zaubertopf.de/wp-content/uploads/2020/02/chicken-wings-thermomix-shutterstock_465668816.jpg",2,,"","Franziska","",,
47,"Nudelsalat (Fleischwurst und Gurken)","https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/vimdb/259029.jpg",3,,"","Franziska","FRANZISKA",2020-12-28 00:00:00,2020-12-28 00:00:00
49,"Knödel","https://www.ndr.de/ratgeber/kochen/warenkunde/kloesse120_v-contentgross.jpg",3,,"","Franziska","",,
50,"Bratkartoffeln","https://image.essen-und-trinken.de/11848908/t/HN/v8/w1440/r1/-/bratkartoffeln-aus-pellkartoffeln-0b6b8b4c3273dfdf072b69bdfb0e7d8e-fjt2008110761-jpg--17250-.jpg",3,,"","Franziska","FRANZISKA",2020-12-28 00:00:00,2020-12-28 00:00:00
62,"Reispfanne","https://i.rewe-static.de/rezepte/rewe-de/rezepte-und-gesund-geniessen/rezepte/7-zutaten-gerichte/paprikapfanne-hackfleisch/paprikapfanne-hackfleisch_rdk-rds_rv_320.jpg",2,,"","FRANZISKA","FRANZISKA",2021-02-04 00:00:00,2021-02-04 00:00:00
